NOME DO ARQUIVO,TAMANHO ORIGINAL (KB),PNG - TAMANHO COMPRIMIDO (KB),COMPRESSAO PNG,JPEG - TAMANHO COMPRIMIDO (KB),COMPRESSAO JPEG,PCA-950 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-950,PCA-975 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-975,PCA-990 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-990,MSE PNG,PSNR PNG,MSE JPEG,PSNR JPEG,MSE PCA-950,PSNR PCA-950,MSE PCA-975,PSNR PCA-975,MSE PCA-990,PSNR PCA-990
lung-512x512/3d1abb68_1-029.dcm,526.22,88.77,83.13,17.14,96.74,43.81,91.68,76.57,85.45,133.92,74.55,0,inf,2.34,44.44,29.78,33.39,22.38,34.63,14.26,36.59
lung-512x512/1fe15ca7_1-029.dcm,526.19,93.88,82.16,14.7,97.21,39.71,92.45,84.77,83.89,166.69,68.32,0,inf,3.27,42.99,21.11,34.89,16.42,35.98,10.55,37.9
lung-512x512/61b8d788_1-68.dcm,525.73,95.65,81.81,16.99,96.77,52,90.11,88.86,83.1,150.3,71.41,0,inf,2.91,43.49,33.61,32.87,24.62,34.22,15.12,36.34
lung-512x512/e59fead2_1-015.dcm,526.19,85.43,83.76,13.78,97.38,56.09,89.34,88.86,83.11,146.21,72.21,0,inf,2.19,44.73,25.12,34.13,18.87,35.37,11.38,37.57
lung-512x512/f1ee18f7_1-88.dcm,526.22,108.33,79.41,20.36,96.13,56.09,89.34,101.15,80.78,199.45,62.1,0,inf,5.69,40.58,24.85,34.18,20.39,35.04,12.94,37.01
lung-512x512/15834654_1-78.dcm,525.71,100.09,80.96,16.41,96.88,56.09,89.33,97.05,81.54,178.97,65.96,0,inf,3.67,42.48,26.16,33.95,19.25,35.29,11.8,37.41
lung-512x512/b0e69a96_1-094.dcm,526.19,83.98,84.04,11.14,97.88,47.9,90.9,97.05,81.56,178.97,65.99,0,inf,1.99,45.14,12.76,37.07,8.38,38.9,4.79,41.33
lung-512x512/f16bdd50_1-015.dcm,526.22,82.76,84.27,15.84,96.99,92.96,82.33,146.21,72.22,228.13,56.65,0,inf,2.11,44.89,21.2,34.87,15.61,36.2,8.68,38.75
lung-512x512/977b816c_1-033.dcm,526.22,92.46,82.43,18.03,96.57,47.9,90.9,80.67,84.67,150.3,71.44,0,inf,2.89,43.52,26.01,33.98,19.44,35.24,11.8,37.41
lung-512x512/07ba7d9b_1-017.dcm,526.2,76.83,85.4,13.71,97.39,39.71,92.45,80.67,84.67,142.11,72.99,0,inf,1.79,45.6,22.53,34.6,17.1,35.8,11.15,37.66
lung-512x512/168e4037_1-86.dcm,525.72,94.01,82.12,16.15,96.93,52,90.11,101.15,80.76,183.07,65.18,0,inf,3.17,43.12,23.76,34.37,17.9,35.6,10.9,37.76
lung-512x512/140c8fad_1-108.dcm,525.72,103.36,80.34,18.03,96.57,39.71,92.45,88.86,83.1,178.97,65.96,0,inf,4.53,41.57,25.19,34.12,19.07,35.33,12.48,37.17
lung-512x512/39a278c4_1-108.dcm,526.22,84.61,83.92,14.71,97.2,52,90.12,92.96,82.33,162.59,69.1,0,inf,2.16,44.79,19.02,35.34,15.34,36.27,9.03,38.57
lung-512x512/178273cd_1-105.dcm,526.22,86.3,83.6,15.78,97,60.19,88.56,97.05,81.56,166.69,68.32,0,inf,2.27,44.57,26.16,33.95,20.09,35.1,12.26,37.25
lung-512x512/505072a4_1-004.dcm,525.73,94.19,82.08,15.7,97.01,88.86,83.1,142.11,72.97,224.03,57.39,0,inf,2.93,43.46,21.24,34.86,15.72,36.17,8.83,38.67
lung-512x512/9e681282_1-083.dcm,526.21,87.62,83.35,16.02,96.95,47.9,90.9,88.86,83.11,158.49,69.88,0,inf,2.38,44.37,24.74,34.2,18.75,35.4,11.59,37.49
lung-512x512/c873f1cd_1-052.dcm,526.21,91.89,82.54,16.41,96.88,64.29,87.78,113.44,78.44,191.26,63.65,0,inf,2.64,43.91,27.17,33.79,19.02,35.34,11.24,37.62
lung-512x512/01d39fe9_1-04.dcm,526.22,92.26,82.47,15.15,97.12,56.09,89.34,109.34,79.22,191.26,63.65,0,inf,2.87,43.55,22.84,34.54,17.49,35.7,10.35,37.98
lung-512x512/88cd90b4_1-152.dcm,525.72,83.61,84.1,13.99,97.34,72.48,86.21,133.92,74.53,224.03,57.39,0,inf,2.44,44.26,17.97,35.59,12.9,37.02,7.29,39.5
lung-512x512/54f01a6f_1-121.dcm,526.23,93.75,82.18,14.87,97.17,43.81,91.68,92.96,82.33,174.88,66.77,0,inf,3.01,43.35,18.65,35.42,14.75,36.44,8.78,38.7
lung-512x512/3560f313_1-062.dcm,526.22,102.18,80.58,18.79,96.43,56.09,89.34,113.44,78.44,203.55,61.32,0,inf,4.42,41.68,27.91,33.67,21.27,34.85,13.44,36.85
lung-512x512/27286593_1-059.dcm,526.22,80.43,84.71,14.38,97.27,109.34,79.22,174.88,66.77,264.99,49.64,0,inf,2.2,44.71,15.37,36.26,10.68,37.85,5.86,40.45
lung-512x512/b463fb39_1-130.dcm,526.23,93.97,82.14,15.36,97.08,27.42,94.79,64.29,87.78,121.63,76.89,0,inf,2.83,43.61,27.26,33.78,20.48,35.02,13.02,36.98
lung-512x512/4f18fc49_1-083.dcm,526.21,92.08,82.5,19,96.39,88.86,83.11,138.01,73.77,219.93,58.2,0,inf,2.82,43.63,26.14,33.96,21.19,34.87,12.82,37.05
lung-512x512/dcab6d37_1-79.dcm,526.21,100.13,80.97,20.69,96.07,52,90.12,97.05,81.56,174.88,66.77,0,inf,3.66,42.5,28.44,33.59,22.61,34.59,14.69,36.46
lung-512x512/1405af41_1-063.dcm,526.22,83.17,84.2,16.83,96.8,72.48,86.23,117.53,77.66,195.36,62.88,0,inf,2.23,44.65,25.48,34.07,19.99,35.12,12.19,37.27
lung-512x512/5213e9ab_1-09.dcm,525.72,57.92,88.98,10.37,98.03,64.29,87.77,97.05,81.54,162.59,69.07,0,inf,0.96,48.31,13.56,36.81,9.01,38.58,4.65,41.46
lung-512x512/a4edeec3_1-56.dcm,525.72,88.19,83.23,17.3,96.71,84.77,83.88,133.92,74.53,211.74,59.72,0,inf,2.54,44.08,27.73,33.7,20.7,34.97,12.44,37.18
lung-512x512/c99645ec_1-039.dcm,526.21,90.57,82.79,18.09,96.56,60.19,88.56,101.15,80.78,166.69,68.32,0,inf,2.59,44,26.32,33.93,19.42,35.25,12.08,37.31
lung-512x512/6106d238_1-019.dcm,526.22,75.18,85.71,13.93,97.35,52,90.12,88.86,83.11,150.3,71.44,0,inf,1.56,46.2,21.84,34.74,16.67,35.91,10.13,38.07
lung-512x512/1c86f93e_1-049.dcm,526.22,101.79,80.66,22.73,95.68,56.09,89.34,101.15,80.78,183.07,65.21,0,inf,3.75,42.39,33.84,32.84,26.48,33.9,16.61,35.93
lung-512x512/926a7199_1-038.dcm,526.2,75.7,85.61,11.05,97.9,64.29,87.78,113.44,78.44,191.26,63.65,0,inf,1.46,46.49,12.09,37.31,7.74,39.24,4,42.11
lung-512x512/9cb510b6_1-86.dcm,526.2,100.53,80.9,14.93,97.16,52,90.12,101.15,80.78,199.45,62.1,0,inf,3.81,42.32,19.37,35.26,14.38,36.55,8.78,38.7
lung-512x512/fa6e554c_1-60.dcm,526.21,88.23,83.23,16.41,96.88,72.48,86.23,113.44,78.44,187.17,64.43,0,inf,2.33,44.46,23.11,34.49,16.88,35.86,9.65,38.29
lung-512x512/d9b5112a_1-125.dcm,526.22,75.51,85.65,13.9,97.36,52,90.12,84.77,83.89,154.4,70.66,0,inf,1.68,45.88,20.04,35.11,15.55,36.21,9.97,38.14
lung-512x512/a359df53_1-047.dcm,526.22,84.04,84.03,17.02,96.77,52,90.12,92.96,82.33,166.69,68.32,0,inf,2.21,44.69,27,33.82,20.22,35.07,12.13,37.29
lung-512x512/ab6f0a29_1-086.dcm,525.72,90.92,82.71,15.87,96.98,72.48,86.21,129.82,75.31,215.84,58.94,0,inf,3.11,43.2,22.48,34.61,16.35,36,10.11,38.08
lung-512x512/52eee0e7_1-057.dcm,526.2,101.46,80.72,17.94,96.59,76.57,85.45,125.73,76.11,211.74,59.76,0,inf,4.06,42.05,29.11,33.49,21.66,34.77,13.35,36.88
lung-512x512/a01762d0_1-062.dcm,526.22,91.62,82.59,18.41,96.5,80.67,84.67,129.82,75.33,211.74,59.76,0,inf,2.65,43.9,27.22,33.78,20.86,34.94,12.61,37.12
lung-512x512/089e60b8_1-092.dcm,526.22,90.25,82.85,14.46,97.25,68.38,87.01,125.73,76.11,219.93,58.2,0,inf,2.73,43.77,18.94,35.36,12.81,37.06,7.15,39.59
lung-512x512/501ad843_1-003.dcm,525.72,80.09,84.77,12.68,97.59,56.09,89.33,97.05,81.54,162.59,69.07,0,inf,1.85,45.46,19.64,35.2,13.61,36.79,8.04,39.08
lung-512x512/81be8ab3_1-033.dcm,526.22,92.44,82.43,19.19,96.35,64.29,87.78,109.34,79.22,183.07,65.21,0,inf,2.62,43.95,28.74,33.55,21.48,34.81,13.23,36.92
